Y値,変換後
1468,1
1470,2
1472,3
1473,4
1475,5
1477,6
1479,7
1481,8
1483,9
1484,10
1486,11
1488,12
1490,13
1492,14
1494,15
1496,16
1497,17
1499,18
1501,19
1503,20
1505,21
1507,22
1508,23
1510,24
1512,25
1514,26
1516,27
1518,28
1520,29
1521,30
1523,31
1525,32
1527,33
1529,34
1531,35
1532,36
1534,37
1536,38
1538,39
1540,40
1542,41
1544,42
1545,43
1547,44
1549,45
1551,46
1553,47
1555,48
1556,49
1558,50
1560,51
1562,52
1564,53
1566,54
1567,55
1569,56
1571,57
1573,58
1575,59
1577,60
